,townland,town,population
10086,Abbey Island,Ballyshannon Rural,10
10087,Abbeylands,Ballyshannon Rural,121
10088,Adderville,Straid,54
10089,Adderwal,Gleann Léithín,9
10090,Admiran,Stranorlar,364
10091,Aghadachor,Glen,15
10092,Aghadaghly,Grianfort,7
10093,Aghadowey,Ballintra,28
10094,Aghadreenan,Rosnakill,44
10095,Aghafoy,Pettigoe,4
10096,Aghaglassan,Gleneely,65
10098,Aghalattive,Ards,48
10099,Aghalatty,Carraig Airt,36
10102,Aghangaddy Glebe,Rathmelton,127
10103,Aghanursan,Millford,29
10104,Aghasheil,Stranorlar,19
10105,Aghatubbrid,Gleneely,15
10106,Aghavannan Far,Rathmullan,34
10107,Aghavannan Near,Rathmullan,23
10108,Aghaveagh,Allt na Péiste,22
10109,Aghawee,Clonleigh South,25
10110,Aghawoney,Ballyarr,30
10111,Aghayeevoge,Killybegs,112
10112,Aghilly and Lenynarnan,Buncrana Rural,107
10113,Aghlehard,Magheraboy,77
10114,Aghlem,Tullynaught,18
10115,Aghnahoo Glebe,Templecarn,29
10116,Aghnakeeragh,Raphoe,33
10117,Aghragh,Gleann Cholm Cille,48
10118,Aighan,Dunkineely,28
10119,Aighe,Gleann Gheis,29
10120,Alla,Ballyshannon Rural,12
10121,Alt Lower,Urney West,45
10122,Alt Upper,Urney West,95
10123,Altadoo,Donegal,17
10125,Altaghaderry,Killea,461
10126,Altahalla,Straid,153
10128,Altaskin,St. Johnstown,24
10129,Altatraght,An Clochán,8
10131,Altcor,Bonnyglen,9
10132,Altilow,Haugh,40
10134,Altlahan,An Clochán,35
10135,Altnagapple,Maol Mosóg,7
10136,Altnapaste,Allt na Péiste,27
10137,Annagary,Anagaire,383
10138,Annagh,Straid,167
10139,Annaslee,Fahan,17
10140,Anny Far and Near,Cnoc Colbha,27
10141,Aphort (Aran Island),Árainn Mhór,49
10144,Ardaganny,Corravaddy,42
10145,Ardagh (ED Ballyliffin),Ballyliffin,81
10146,Ardagh (ED Treantamucklagh),Treantaghmucklagh,49
10147,Ardaghy Glebe,Inver,58
10148,Ardahee,Ballymacool,11
10149,Ardara,Ard an Rátha,548
10150,Ardaravan,Buncrana Urban,2229
10151,Ardarawer,Castlewray,566
10152,Ardatowel,Tawnawully,41
10155,Ardbane (ED Eanymore),Eanymore,7
10156,Ardbane (ED Rosguill),Ros Goill,23
10159,Ardee,Newtown Cunningham,44
10160,Ardeelan Lower,Ballintra,21
10162,Ardeevin,Tawnawully,37
10163,Ardeskin,Donegal,201
10164,Ardfarn,Bundoran Rural,150
10165,Ardgillew,Cavangarden,12
10166,Ardglass,Grianfort,35
10167,Ardinawark,Tawnawully,75
10168,Ardlenagh,Donegal,18
10169,Ardlougher,Maol Mosóg,10
10170,Ardloughill,Carrickboy,32
10171,Ardmalin,Ardmalin,366
10172,Ardmeen,Cró Bheithe,21
10173,Ardmore,Kilderry,359
10174,Ardnableask,Tawnawully,10
10175,Ardnaditian,Manorcunningham,41
10176,Ardnagalliagh,Ballintra,10
10177,Ardnagannagh,Gleneely,28
10178,Ardnagappary,Machaire Chlochair,327
10180,Ardnaglass (ED Clonleigh South),Clonleigh South,25
10181,Ardnaglass (ED Pettigoe),Pettigoe,80
10184,Ardnasool,Clonleigh North,38
10185,Ardpattan,Cavangarden,9
10186,Ardrumman,Castlewray,98
10188,Ards Beg,Gort an Choirce,316
10189,Ards Big,Rathmelton,17
10190,Ards Little,Rathmelton,22
10191,Ards More,Gort an Choirce,88
10194,Arduns,Machaire Chlochair,50
10195,Ardvally,Maol Mosóg,12
10196,Ardvarnock Glebe,Figart,19
10197,Arlands,Inis Mhic an Doirn,75
10198,Arryheernabin,Fánaid Thuaidh,13
10200,Altashane or Cabadooey,Carndonagh,63
10201,Attatantee,Machaire Chlochair,7
10204,Aughagault Big,Convoy,64
10206,Aughnish,Rathmelton,138
10208,Aught,Three Trees,233
10210,Avaltygort,Gleneely,51
10212,Backland,Clonleigh South,6
10213,Backlees,Stranorlar,17
10215,Ballagh,Malin,35
10216,Ballaghderg,Gortnavern,464
10217,Ballard,Cill Ghabhlaigh,20
10218,Balleeghan (ED Greencastle),Greencastle,112
10219,Balleeghan (ED Manorcunningham),Manorcunningham,61
10220,Balleeghan Lower,Carthage,70
10221,Balleeghan Upper,Carthage,92
10222,Balleelaghan,Malin,40
10223,Ballina,Rosnakill,18
10224,Ballincrick and Ballynabrocky,Fánaid Thuaidh,59
10225,Ballindrait,Clonleigh North,77
10226,Ballinlough,Mintiaghs,43
10227,Ballintemple,Na Croisbhealaí,93
10228,Ballintlieve,Mintiaghs,45
10230,Ballintra (Aran Island),Árainn Mhór,89
10231,Ballintra (ED Ballintra),Ballintra,115
10232,Balloor,Fánaid Thuaidh,31
10234,Ballyannan,Desertegny,67
10235,Ballyara,Killybegs,41
10236,Ballyargus,Redcastle,229
10237,Ballyarr,Ballyarr,99
10238,Ballyarr Glebe,Ballyarr,95
10239,Ballyarrell,Gleneely,58
10241,Ballybegly,Newtown Cunningham,67
10242,Ballybegly Little,Manorcunningham,39
10243,Ballybobaneen,Allt na Péiste,32
10244,Ballybodonnell,Dunkineely,10
10245,Ballyboe (ED Convoy),Convoy,83
10246,Ballyboe (ED Corravaddy),Corravaddy,48
10247,Ballyboe (ED Creeslough),An Craoslach,19
10248,Ballyboe (ED Cross Roads),Na Croisbhealaí,114
10250,Ballyboe (ED Killea),Killea,16
10252,Ballyboe (ED Rathmelton),Rathmelton,155
10253,Ballyboe Glencar,Letterkenny Rural,1809
10256,Ballyboencurragh,Castlewray,35
10257,Ballybofey,Stranorlar,1506
10258,Ballybogan,Clonleigh South,28
10259,Ballybokeel,Rathmelton,9
10260,Ballybolauder,Templedouglas,22
10261,Ballybotemple,An Clochán,8
10262,Ballyboyle,Donegal,41
10263,Ballybrack,Moville,213
10264,Ballybrollaghan,Tantallon,116
10265,Ballybulgan,Ballintra,27
10266,Ballybun,Cloghard,107
10267,Ballybuninabber,An Tearmann,30
10268,Ballycallan,An Cheathrú Chaol,11
10269,Ballycharry,Turmone,65
10270,Ballyconnell,Na Croisbhealaí,165
10271,Ballyconnelly (ED Glenalla),Glenalla,33
10272,Ballyconnelly (ED Ballymacool),Ballymacool,51
10273,Ballycramsy,Malin,19
10274,Ballycroy,Dunkineely,18
10275,Ballycushion,Killea,23
10276,Ballydermot,Ballintra,54
10277,Ballydevitt,Donegal,60
10278,Ballydevitt Beg,Donegal,110
10279,Ballyederlan,Dunkineely,24
10280,Ballyederowen,Birdstown,462
10282,Ballygallan,Mín Charraigeach,19
10283,Ballygawley,Killymasny,22
10286,Ballygorman,Ardmalin,81
10287,Ballygreen,Rathmelton,16
10288,Ballyhanna,Carrickboy/Ballyshannon Urban,63
10289,Ballyhasky,Castleforward,431
10290,Ballyheerin,Fánaid Thiar,67
10291,Ballyhiernan,Fánaid Thuaidh,23
10292,Ballyholey Far,Kincraigy,54
10293,Ballyholey Near,Figart,66
10294,Ballyhoorisky,Fánaid Thiar,22
10295,Ballyhork,Fánaid Thiar,19
10297,Ballykeeran,Kilmacrenan,253
10298,Ballykenny (ED Ardmalin),Ardmalin,8
10299,Ballykenny (ED Glenalla),Glenalla,15
10300,Ballykergan,Allt na Péiste,41
10301,Ballykillowen,Laghy,29
10302,Ballykinard,Rosnakill,11
10303,BallylaSt. (Raphoe South By),Castlefinn,45
10304,Ballylawn (ED Castlecary),Castlecary,61
10305,Ballylawn (ED Manorcunningham),Manorcunningham,81
10306,Ballylennan,Feddyglass,60
10307,Ballylevin,Manorcunningham,21
10308,Ballyliffin,Ballyliffin,226
10309,Ballylin,Rathmelton,31
10310,Ballylosky,Glentogher,915
10311,Ballyloughan,Killybegs,79
10312,Ballymacahil,Bonnyglen,33
10313,Ballymacarry,Buncrana Rural/Buncrana Urban,1913
10314,Ballymacarry Lower,Buncrana Urban,655
10315,Ballymacarthur,Greencastle,203
10316,Ballymacavany,Pettigoe,15
10317,Ballymacaward,Ballyshannon Rural,109
10318,Ballymackilduff,Dawros,34
10319,Ballymacmoriarty,Ballyliffin,6
10320,Ballymacool,Ballymacool,833
10321,Ballymacphadin,Cill Charthaigh,26
10323,Ballymagahy North,Grianfort,13
10324,Ballymagahy South,Rosnakill,13
10325,Ballymagan Upper and Lower and Clonblosk,Illies,295
10326,Ballymagaraghy,Turmone,19
10327,Ballymagowan,Dunkineely,200
10328,Ballymagowan Lower,An Cheathrú Chaol,39
10329,Ballymagowan Upper,An Cheathrú Chaol,32
10330,Ballymagrorty,Cavangarden,7
10331,Ballymagrorty Irish,Ballintra,38
10332,Ballymagrorty Scotch,Ballintra,92
10333,Ballymaleel,Castlewray,109
10335,Ballymichael,Fánaid Thuaidh,20
10337,Ballymoney,Burt,10
10338,Ballymoon,An Leargaidh Mhór,10
10340,Ballymore Lower,Ards,27
10341,Ballymore Upper,Ards,24
10342,Ballymunterhiggin,Bundoran Rural,81
10343,Ballynabreen,Clonleigh South,61
10344,Ballynacarrick (ED Ballintra),Ballintra,63
10345,Ballynacarrick (ED Carrickboy),Carrickboy,35
10346,Ballynacor,Gleneely,133
10347,Ballynacraig,Gort an Choirce,70
10348,Ballynaglack,Stranorlar,88
10350,Ballynahone (ED Fahan),Fahan,48
10351,Ballynakeeloge,Illies,13
10352,Ballynakillew Mountain,Ballintra,20
10353,Ballynakilly (ED Inch Island)),Inch Island,32
10354,Ballynakilly (ED Templedouglas),Templedouglas,36
10355,Ballynally,Moville,965
10356,Ballynalost,Fánaid Thuaidh,5
10357,Ballynaman (ED Cloghan),An Clochán,18
10358,Ballynaman (ED Gleneely),Gleneely,22
10359,Ballynarry,Buncrana Rural,91
10360,Ballynascall,Mín an Lábáin,12
10361,Ballynashannagh,Rosnakill,9
10362,Ballynatone,An Clochán,34
10363,Ballyness,Na Croisbhealaí,153
10366,Ballyraine,Letterkenny Rural,960
10367,Ballyrattan,Castlecary,106
10368,Ballysaggart,Dunkineely,17
10369,Ballyscanlan Lower,Loch Caol,13
10370,Ballyscanlan Upper,Loch Caol,17
10372,Balwoges,Corkermore,35
10373,Banganboy,An Ghrafaidh,14
10374,Bangort,Cill Ghabhlaigh,9
10377,Barnes Lower,An Tearmann,33
10378,Barnes Upper,An Tearmann,15
10381,Barrack,Gortnavern,49
10382,Barrack or Ballymagig,Killymasny,59
10383,Baskill,Gleneely,27
10384,Bauville Keeloges and Clonglash,Buncrana Rural,176
10385,Bavan,An Leargaidh Mhór,94
10386,Bayhill,Rathmelton,9
10387,Baylet,Inch Island,24
10388,Beagh,Dawros,35
10389,Beaghmore,Gleann Léithín,5
10390,Beaugreen Glebe,Dunkineely,27
10391,Beefan,Cill Ghabhlaigh,28
10393,Beefpark,Tantallon,6
10395,Behy,Ballyshannon Rural,48
10396,Belalt,Cloghard,33
10397,Belalt North,Templecarn,17
10398,Belalt South,Templecarn,9
10399,Belcruit,Inis Mhic an Doirn,219
10400,Bellaganny,Gleann Gheis,5
10401,Bellanamore,Baile na Finne,50
10402,Bellanascaddan,Edenacarnan,89
10403,Bellina,Na Croisbhealaí,335
10405,Beltany,Raphoe,60
10406,Beltany Lower,Dún Lúiche,92
10407,Beltany Mountain,Dún Lúiche,39
10408,Beltany Upper,Dún Lúiche,53
10411,Billary,Pettigoe,22
10413,Bindoo,Allt na Péiste,26
10416,Binnion (ED St. Johnstown),St. Johnstown,10
10417,Binnion (ED Straid),Straid,56
10418,Binroe,Killybegs,66
10419,Birchhill,Clogher,72
10420,Bircog,Pettigoe,49
10421,Birdstown,Clonleigh South,31
10423,Birra,Ballintra,10
10426,Blackrepentance,Castlefinn,7
10427,Blackrock,Clonleigh North,10
10428,Blacks Glen,Rathmelton,11
10429,Blairstown,Killygordon,31
10430,Blanket Nook (Raphoe North By),Castleforward,17
10433,Bogagh,Raphoe,14
10434,Bogagh Glebe,Cill Charthaigh,33
10435,Bogay,Castlewray,59
10436,Bogay Glebe,Castleforward,12
10438,Bohanboy,Killygordon,11
10439,Boheolan,Templedouglas,23
10440,Bohirril,Gortnavern,61
10441,Bohirril Park,Gortnavern,19
10442,Bohullion Lower,Burt,87
10443,Bohullion Upper,Burt,43
10444,Bomany,Ballymacool,181
10445,Bonnyglen,Bonnyglen,11
10446,Booragh,Rathmelton,23
10448,Boyagh,Clonleigh North,28
10449,Boyoughter,Leitir Mhic an Bhaird,100
10451,Braade (ED Annagary),Anagaire,93
10452,Braade (ED Clonleigh North),Clonleigh North,32
10453,Braade Upper,Gleann Cholm Cille,15
10454,Bracky,Gleann Gheis,47
10455,Braehead,Figart,24
10456,Bready,Killea,22
10457,Breaghy (ED Ards),Ards,45
10458,Breaghy (ED Castlefinn),Castlefinn,14
10459,Breaghy (ED Rathmelton),Rathmelton,29
10460,Bredagh Glen,Moville,246
10461,Bree,Ardmalin,79
10462,Breen,Convoy,13
10463,Breenagh,Suí Corr,42
10464,Brenter,Inver,51
10465,Bridge End or Drummonaghan,Rathmelton,169
10466,Brinlack,Mín an Chladaigh,343
10467,Broadlea,Feddyglass,8
10468,Broadpath,Convoy,23
10469,Brockagh (ED Cloghan),An Clochán,22
10470,Brockagh (ED Crovehy),Cró Bheithe,9
10471,Brockagh (ED Creenasmear),Críoch na Sméar,22
10472,Brockagh (ED Treantamucklagh),Treantaghmucklagh,41
10473,Brookfield,Donegal,162
10477,Bruckless,Dunkineely,116
10478,Bunawack,Cró Bheithe,17
10479,Bunbeg,Machaire Chlochair,8
10480,Buncronan,Tantallon,17
10481,Buncroobog,Na Gleannta,35
10482,Bungosteen,Killybegs,21
10483,Bunnagee,Letterkenny Rural,234
10484,Bunnamayne,Burt,410
10485,Bunnaton,Cnoc Colbha,28
10488,Burnside,Figart,25
10489,Burnthaw,St. Johnstown,18
10490,Burtonport,Inis Mhic an Doirn,47
10491,Cabra Brook,Templedouglas,39
10492,Cabra Glebe,Templedouglas,12
10493,Cabry,Whitecastle,82
10494,Calhame (ED Clonleigh South),Clonleigh South,27
10496,Calhame (ED Dunkineely),Dunkineely,84
10497,Calhame (ED Dunlewy),Dún Lúiche,17
10498,Calhame (ED Killygordon),Killygordon,48
10499,Calhame (ED Urney West),Urney West,5
10500,Calhame or Montgomery's fort,Convoy,20
10501,Callan,Lettermore,76
10502,Callanacor,Lettermore,89
10503,Camblestown,Castlewray,63
10504,Camlin,Carrickboy,10
10505,Camp,Ballyshannon Rural,214
10507,Cappagh,Gleann Cholm Cille,46
10508,Cappry,Dooish,759
10509,Cappry (Graham),Dooish,26
10511,Carlan Lower,An Cheathrú Chaol,12
10512,Carlan Upper,An Cheathrú Chaol,97
10513,Carmoney,Creamhghort,13
10514,Carn (ED Gleneely),Gleneely,93
10515,Carn (ED Pettigoe),Pettigoe,31
10517,Carn High (ED Rathmelton),Rathmelton,49
10518,Carn Low,Rathmelton,23
10521,Carnagarve,Moville,151
10522,Carnaghan,Inch Island,27
10523,Carnagore,Glen,27
10524,Carnamogagh Lower,Letterkenny Rural,973
10525,Carnamogagh Upper,Letterkenny Rural,1567
10526,Carnamoyle,Kilderry,188
10527,Carnashannagh (ED Fahan),Fahan,67
10528,Carnatreantagh,Templedouglas,69
10529,Carnbeagh North,Clogher,42
10530,Carnbeagh South,Clogher,14
10531,Carnboy,Anagaire,13
10532,Carndoagh,Carndonagh,68
10533,Carngarrow,Cnoc Colbha,21
10536,Carnowen,Castlefinn,88
10537,Carnshannagh (ED Feddyglass),Feddyglass,12
10538,Carntressy,Templecarn,10
10539,Carntullagh,Killybegs,24
10540,Carradoan,Rathmullan,13
10544,Carran Upper and Lower,An Cheathrú Chaol,31
10545,Carranadore,Cloghard,32
10547,Carrick Lower,Gleann Cholm Cille,147
10548,Carrick Upper,Gleann Cholm Cille,181
10549,Carrick (ED Cranford),Creamhghort,67
10550,Carrick (ED Killygordon),Killygordon,49
10551,Carrick (ED Meenaclady),Mín an Chladaigh,341
10552,Carrick (ED Templedouglas),Templedouglas,58
10553,Carrick Upper and Lower Barr,Laghy,23
10554,Carrick West,Laghy,36
10555,Carrickabraghy,Ballyliffin,16
10556,Carrickadawson,Feddyglass,35
10557,Carrickafodan (ED Gleneganon),Glennagannon,200
10559,Carrickanee,Inch Island,60
10560,Carrickart,Carraig Airt,274
10562,Carrickatimpan,Mín an Lábáin,8
10563,Carrickatlieve Glebe,Ard an Rátha,31
10564,Carrickballydooey,Kincraigy,20
10566,Carrickboy,Ballyshannon Urban,372
10567,Carrickbrack (Raphoe North By),Convoy,27
10568,Carrickbrack (Raphoe South By),Convoy,45
10569,Carrickbreeny,Ballintra,15
10570,Carrickfin,Anagaire,12
10571,Carrickmagrath,Goland,232
10573,Carrickmaquigley,Redcastle,210
10574,Carrickmore,St. Johnstown,58
10575,Carricknagore,Killybegs,83
10576,Carricknahorna,Cavangarden,48
10577,Carricknamanna,Killygordon,109
10578,Carricknamart,Kincraigy,67
10579,Carricknamoghil,Killybegs,65
10580,Carricknashane,Killygordon,62
10582,Carrickrory,Pettigoe,4
10583,Carrickshandrum,Gleneely,42
10584,Carrickybressil,Millford,8
10586,Carrigans,Killea,165
10587,Carroghill,Mintiaghs,40
10588,Carrontlieve,Fahan,277
10589,Carrowbeg,Turmone,16
10590,Carrowblagh (ED Glentogher),Glentogher,131
10591,Carrowblagh (ED Turmone),Turmone,12
10592,Carrowblagh or Leckemy,Turmone,33
10593,Carrowcanon,Na Croisbhealaí,147
10594,Carrowcashel,Rathmelton,21
10595,Carrowen,Burt,48
10596,Carrowhugh,Greencastle,97
10597,Carrowkeel (ED Carrowkeel),An Cheathrú Chaol,198
10598,Carrowkeel (ED Whitecastle),Whitecastle,218
10599,Carrowkeel Glebe,Grianfort,12
10600,Carrowmenagh,Turmone,51
10601,Carrowmore (ED Gleneely),Gleneely,120
10602,Carrowmore (ED Malin),Malin,141
10603,Carrowmore or Glentogher,Glentogher,73
10604,Carrowmullin,Fahan,76
10605,Carrownaff,Castlecary,119
10606,Carrownaganonagh,Loch Caol,29
10607,Carrownamaddy (ED Burt),Burt,94
10608,Carrownamaddy (ED Creenasmear),Críoch na Sméar,31
10609,Carrownasaul,Loch Caol,22
10610,Carrowreagh (ED Burt),Burt,135
10611,Carrowreagh (ED Gleneganon),Glennagannon,192
10612,Carrowreagh (ED Knockalla),Cnoc Colbha,14
10613,Carrowreagh or Craignacally,Ballyliffin,68
10614,Carrowtrasna (ED Gartan),Gartán,25
10615,Carrowtrasna (ED Greencastle),Greencastle,74
10616,Carryblagh,Grianfort,27
10617,Carrygally,Corravaddy,70
10618,Carrygalt,Rathmelton,9
10619,Carthage,Carthage,181
10620,Casey Glebe,Dún Fionnachaidh,39
10622,Cashel (ED Ballyshannon Rural),Ballyshannon Rural,67
10623,Cashel (ED Doe Castle),Caisleán na dTuath,52
10624,Cashel (ED Dunlewy),Dún Lúiche,73
10625,Cashel (ED Gleneely),Gleneely,78
10626,Cashel (ED Glentogher),Glentogher,65
10627,Cashel (ED Malinbeg),Málainn Bhig,116
10628,Cashel (ED Mulmosog),Maol Mosóg,30
10629,Cashel Glebe,Fánaid Thiar,18
10630,Cashelard,Cliff,186
10631,Cashelcarn,Cill Charthaigh,45
10632,Cashelcummin,Killybegs,55
10633,Casheleenan,Loch Caol,36
10634,Cashelenny,Grousehall,8
10635,Cashelfean,Dunkineely,29
10636,Cashelgay,Edenacarnan,43
10637,Cashelgolan,Maas,24
10638,Cashelin,Cloghard,10
10639,Cashellackan,Ballyshannon Rural,26
10640,Cashelmore,Ards,87
10641,Cashelnagor,Dún Lúiche,73
10644,Casheloogary,Inver,56
10645,Cashelpreaghan,Grianfort,14
10646,Cashelreagh,Templedouglas,29
10647,Cashelreagh Glebe,Killybegs,42
10648,Cashelshanaghan,Castlewray,189
10649,Casheltown (ED Corkemore),Corkermore,37
10653,Castlebane (ED Dunfanaghy),Dún Fionnachaidh,15
10654,Castlebane (ED Stranorlar),Stranorlar,25
10655,Castleblaugh,Newtown Cunningham,40
10656,Castlecooly,Burt,55
10657,Castledoe,Caisleán na dTuath,44
10658,Castledowey,Treantaghmucklagh,95
10659,Castlefinn,Castlefinn,186
10660,Castleforward Demesne,Castleforward,79
10661,Castlequarter (ED Fahan),Fahan,4
10662,Castlequarter (ED Inch Island),Inch Island,36
10663,Castlethird,Killea,54
10665,Castletown,St. Johnstown,34
10666,Castlewray,Castlewray,36
10667,Castruse,Killea,19
10669,Cavan (ED Clonleigh North),Clonleigh North,65
10670,Cavan (ED Dunkineely),Dunkineely,14
10671,Cavan Lower,Killygordon,77
10672,Cavan Upper,Killygordon,57
10673,Cavanacaw,St. Johnstown,47
10674,Cavanacor,Clonleigh North,5
10675,Cavanaweery,Urney West,16
10676,Cavangarden,Cavangarden,75
10677,Cherrymount,Carrickboy,18
10678,Church Hill,Mín an Lábáin,77
10679,Churchland Quarters,Carndonagh,1919
10680,Churchtown (ED Clonleigh South),Clonleigh South,7
10681,Churchtown (ED Gartan),Gartán,16
10683,Claggan (ED Dunfanaghy),Dún Fionnachaidh,44
