,townland,town,population
12064,Meengilcarry (ED Mulmosog),Maol Mosóg,21
12067,Meengilcarry (ED Cloghan),An Clochán,8
12069,Meenlaragh (ED Gortahork),Gort an Choirce,177
12071,Meenletterbale,Greencastle,33
12072,Meenlougher,Cloghard,39
12073,Meenmore,An Clochán Liath,713
12074,Meenmore East,Baile na Finne,32
12075,Meenmore West,Gleann Léithín,16
12076,Meenreagh (ED Gleneely),Gleneely,44
12077,Meenreagh (ED Loughkeel),Loch Caol,13
12078,Meenreagh (ED Rathmullan),Rathmullan,34
12084,Meentagh,An Cheathrú Chaol,15
12085,Meentaghconlan,Cnoc Colbha,8
12086,Meentaghmore,Cnoc Colbha,20
12087,Meentakeeraghan,An Leargaidh Mhór,18
12088,Meentanadea,Maol Mosóg,10
12089,Meentanakill,Bonnyglen,12
12090,Meentashesk,Gleann Gheis,4
12091,Meentullynagarn,Maol Mosóg,20
12094,Meentymorgal,Gleann Léithín,9
12096,Meenybraddan,Bonnyglen,15
12097,Meenychanon,An Leargaidh Mhór,13
12098,Meenyhooghan,Killybegs,32
12102,Mevagh,Ros Goill,17
12105,Millbrook,Rathmullan,12
12106,Millfarm,Urney West,9
12107,Millford,Millford,381
12108,Millsessiagh,Clonleigh South,33
12110,Milltown (ED Convoy),Convoy,204
12112,Milltown (ED Killymasny),Killymasny,49
12114,Milltown (ED Raphoe),Raphoe,14
12115,Milltown (ED Tawnawully),Tawnawully,31
12116,Mogumna,Maol Mosóg,13
12118,Momeen,Treantaghmucklagh,57
12119,Monargan Glebe,Ard an Rátha,65
12120,Monclink,Kincraigy,28
12121,Mondooey Lower,Kincraigy,32
12122,Mondooey Middle,Kincraigy,60
12123,Mondooey Upper,Kincraigy,39
12124,Moneen,Clonleigh North,20
12125,Monellan,Gleneely,92
12126,Moness (ED Burt),Burt,110
12127,Moness (ED St. Johnstown),St. Johnstown,21
12128,Money Beg,Dún Lúiche,68
12129,Moneymore (ED Dunlewy),Dún Lúiche,33
12130,Moneydarragh,Gleneely,130
12131,Moneygreggan,Newtown Cunningham,70
12132,Moneyhaughly,Manorcunningham,102
12133,Moneymore (ED Ballintra),Ballintra,14
12134,Moneymore (ED Newtown Cunningham),Newtown Cunningham,28
12135,Monfad,Newtown Cunningham,59
12136,Mongavlin,St. Johnstown,44
12137,Monglass,Castleforward,44
12139,Monreagh (ED Killea),Killea,38
12140,Monreagh or Barr of Kilmackilvenny,Fahan,73
12142,Mooneennahasragh,An Clochán,19
12143,Moress,Inch Island,134
12144,Moross,Rosnakill,21
12145,Mossfield,Mín an Lábáin,6
12146,Mossy Glen,Greencastle,49
12147,Mountainpark (ED Figart),Figart,21
12149,Mountcharles,Tantallon,491
12150,Mounthall,Gleneely,57
12151,Mountpleasure,Mín an Lábáin,21
12152,Moy,Maol Mosóg,9
12154,Moyle (ED Ballyarr),Ballyarr,28
12155,Moyle (ED Newtown Cunningham),Newtown Cunningham,29
12156,Moylehill,Ballyarr,26
12157,Moylemoss,Newtown Cunningham,7
12158,Moyne,Tullynaught,15
12159,Moyra Glebe,Na Croisbhealaí,90
12160,Muckros (ED Donegal),Donegal,37
12161,Muckros (ED Largymore),An Leargaidh Mhór,27
12162,Muff (ED Culdaff),Culdaff,169
12163,Muff (ED Kilderry),Kilderry,843
12164,Muineagh (ED Desertegny),Desertegny,65
12165,Muineagh (ED Fanad West),Fánaid Thiar,24
12166,Mullafin,Kincraigy,19
12168,Mullaghaneary,Gleneely,31
12169,Mullaghanny,Clonleigh North,27
12170,Mullaghderg,Anagaire,49
12171,Mullaghderg Mountain Pasture,Anagaire,64
12172,Mullaghdoo Scotch,Anagaire,157
12173,Mullaghdoo Irish,Anagaire,28
12174,Mullagheep,Ballyarr,20
12179,Mullanacross,Ballintra,20
12180,Mullanalamphry,Clogher,16
12181,Mullanard,Convoy,14
12182,Mullanasole,Laghy,111
12184,Mullanboy,Cloghard,69
12185,Mullanboys,Tantallon,63
12186,Mullandrait,Stranorlar,245
12188,Mullanmore,Na Gleannta,12
12189,Mullans (ED Ballyshannon Rural),Ballyshannon Rural,39
12190,Mullans (ED Donegal),Donegal,248
12191,Mullans (ED Tullynaught),Tullynaught,18
12192,Mullantiboyle,Na Gleannta,51
12193,Mulleny,Burt,40
12194,Mullingar,Killygordon,14
12195,Mully,An Ghrafaidh,22
12196,Mullyvea,Dawros,17
12197,Mulmosog or Altnagapple,Maol Mosóg,13
12198,Mulnagoad,Templecarn,8
12199,Mulnagung,Clonleigh North,36
12201,Mulnamin More,Na Gleannta,18
12202,Mulnaveagh,Clonleigh North,12
12203,Multins,Corkermore,23
12204,Muntermellan,Dún Fionnachaidh,36
12205,Munterneese,Tantallon,74
12206,Muntertinny,Figart,34
12207,Murren,Fánaid Thuaidh,14
12208,Murlough (ED Clonleigh South),Clonleigh South,22
12209,Murlough (ED Newtown Cunningham),Newtown Cunningham,8
12210,Murroe,Dún Fionnachaidh,68
12212,Murvagh Upper Glebe,Ballintra,13
12213,Naran,Dawros,98
12214,Navenny,Knock,877
12215,Newmill,Rathmelton,43
12216,Newrow (ED Clonleigh North),Clonleigh North,15
12217,Newrow (ED Figart),Figart,29
12220,Newtownburke,Gleann Gheis,9
12221,Newtowncunningham,Newtown Cunningham,362
12222,Newtowndrumgornan,Donegal,20
12224,Newtownhamilton,Killea,37
12225,Norrira,Malin,45
12226,Oakfield Demesne,Raphoe,64
12227,Ogherbeg,Haugh,50
12229,Oldtown,Letterkenny Rural,440
12230,Oort,Gleneely,78
12232,Oughterlin,Killygarvan,12
12233,Oughtmeen,An Clochán Liath,44
12234,Oughtnadrin,Laghy,23
12236,Owenboy (ED Illies),Illies,34
12237,Owenkillew and Barnahone,Buncrana Rural,11
12238,Owennagadragh,Gleneely,14
12239,Owenteskiny,Inis Caoil,19
12241,Parkhill,Ballyshannon Rural,49
12242,Parkmore,Ards,54
12243,Pettigoe,Pettigoe,61
12244,Plaster,Newtown Cunningham,13
12246,Pluck,Magheraboy,32
12247,Plughoge (Aran Island),Árainn Mhór,35
12251,Point (ED Tantallon),Tantallon,8
12254,Pollans,Templedouglas,9
12255,Pollet,Fánaid Thuaidh,21
12256,Pollnaranny,Ballintra,19
12257,Port (ED Dunfanaghy),Dún Fionnachaidh,50
12258,Port (ED Inver),Inver,44
12261,Porthall,Clonleigh North,152
12263,Portleen,Loch Caol,47
12264,Portlough,Castleforward,21
12265,Portnason,Ballyshannon Urban,13
12266,Prablin,Rathmelton,13
12267,Prieststown,Convoy,19
12269,Procklis (ED Kilmacrenan),Kilmacrenan,49
12270,Procklis (ED Templedouglas),Templedouglas,53
12271,Race End,Gortnavern,66
12272,Rafoarty (ED Ballintra),Ballintra,32
12274,Raforker,Donegal,10
12275,Rahan Far,Dunkineely,8
12276,Rahan Near,Dunkineely,18
12277,Rahanlacky,Corkermore,11
12279,Raneany East,Laghy,26
12280,Raneany West,Laghy,102
12281,Raneely,Tantallon,9
12282,Rann,Corravaddy,67
12283,Rannagh and Toories,Árainn Mhór,22
12284,Ranny (ED Carrowkeel),An Cheathrú Chaol,69
12285,Ranny (ED Lettermacaward),Leitir Mhic an Bhaird,75
12286,Raphoe Demesne,Raphoe,137
12287,Raphoe Townparks,Raphoe,855
12288,Rareagh,Corravaddy,77
12289,Rarooey,Donegal,17
12290,Rashedoge,Killymasny,16
12291,Rashenny,Ballyliffin,155
12292,Rath,Ballintra,23
12294,Rathdonnell,Edenacarnan,81
12295,Rathfragan,Ballintra,11
12296,Rathglass,Bundoran Rural,10
12299,Rathmelton,Rathmelton,943
12300,Rathmore,Bundoran Rural,75
12301,Rathmullan and Ballyboe (ED Rathmullan),Rathmullan,508
12303,Ratteen,St. Johnstown,17
12305,Raws Lower,Cloghard,47
12306,Raws Upper,Cloghard,11
12308,Ray (ED Cross Roads),Na Croisbhealaí,103
12309,Ray (ED Glenalla),Glenalla,62
12310,Raymoghy,Manorcunningham,105
12311,Redford Glebe,Culdaff,22
12312,Revlin,Donegal,18
12313,Rinboy,Fánaid Thuaidh,20
12314,Rinclevan,Dún Fionnachaidh,25
12315,Rinmore,Fánaid Thuaidh,14
12316,Rinnafarset,Anagaire,276
12317,Rinnakill,Gleann Cholm Cille,33
12318,Rinnaraw,Ards,14
12319,Rinnasligo,Ards,16
12321,Rockfield,St. Johnstown,9
12322,Rockhill (ED Ards),Ards,102
12323,Rockhill (ED Ballymacool),Ballymacool,26
12324,Rockhill (ED Cavangarden),Cavangarden,84
12327,Roelough,An Leargaidh Mhór,9
12328,Roes,Eanymore,15
12330,Roosky (ED Creeslough),An Craoslach,35
12331,Roosky (ED Castleforward),Castleforward,124
12332,Roosky (ED Fahan),Fahan,15
12333,Roosky (ED Kincraigy),Kincraigy,63
12334,Roosky (ED Straid),Straid,53
12335,Roosky (ED Whitecastle),Whitecastle,120
12336,Roosky Lower,Castlefinn,31
12337,Roosky Upper,Castlefinn,82
12338,Rosepenna,Ros Goill,133
12339,Roshin (ED Dunfanaghy),Dún Fionnachaidh,22
12340,Roshin (ED Gartan),Gartán,30
12341,Roshin (ED Killybegs),Killybegs,62
12342,Roshin (ED Templedouglas),Templedouglas,12
12343,Roshin Acres,Inis Mhic an Doirn,163
12344,Roshin Lodge,Inis Mhic an Doirn,21
12345,Roshin North,Inis Mhic an Doirn,21
12346,Roshin South,An Machaire,42
12347,Rosnakill,Rosnakill,70
12348,Rossbeg,Dawros,27
12349,Rossbrackan (ED Magheraboy),Magheraboy,101
12350,Rosscad,An Craoslach,32
12352,Rosscat,Ballyshannon Rural,18
12353,Rossgarrow,Millford,152
12354,Rossgeir,Clonleigh North,132
12355,Rossilly,Laghy,10
12356,Rossilly Barr,Laghy,14
12357,Rosskirk and Killhill,Fánaid Thuaidh,24
12358,Rossmore,Tullynaught,18
12359,Rossnowlagh Lower,Ballintra,11
12360,Rossnowlagh Upper or Crockahany,Ballintra,46
12361,Rossreagh,Rathmelton,59
12362,Rossylongan,Donegal,127
12364,Roughan (ED Clonleigh South),Clonleigh South,9
12365,Roughan (ED Killymasny),Killymasny,19
12366,Roughan (ED Newtown Cunningham),Newtown Cunningham,10
12368,Roughan Glebe,Newtown Cunningham,16
12369,Roughpark (ED Castlewray),Castlewray,197
12370,Roughpark (ED Rathmelton),Rathmelton,25
12372,Roxborough Glebe,Cill Charthaigh,119
12374,Rushyhill,Gleneely,18
12376,Ryelands,Treantaghmucklagh,32
12377,Saintjohnstown,St. Johnstown,334
12378,Sallaghagrane,Letterkenny Rural,672
12379,Sallows,An Bhinn Bhán,66
12381,Sallywood,Gleneely,26
12382,Salthill Demesne,Tantallon,65
12383,Saltpans (ED Maghery),An Machaire,30
12384,Saltpans (ED Rathmullan),Rathmullan,21
12385,Sandfield,Dawros,49
12386,Sandhill,Ards,23
12387,Scaddaman,Gleann Gheis,13
12390,Scribly,Corravaddy,107
12391,Seacor,Suí Corr,29
12395,Sesnacully,Raphoe,8
12396,Sessiagh (Allison),Castlefinn,206
12398,Sessiagh (ED Fanad West),Fánaid Thiar,11
12399,Sessiagh (Long),Castlefinn,19
12400,Sessiagh (O'Neill),Knock,171
12403,Shallogan More,Gleann Léithín,13
12404,Shalwy,An Leargaidh Mhór,15
12405,Shanaghan,Gleann Gheis,38
12406,Shanbally,Gleann Cholm Cille,39
12407,Shandrim,Mintiaghs,135
12408,Shannagh (ED Ballintra),Ballintra,34
12410,Shannagh (ED Raphoe),Raphoe,17
12411,Shannaghdoo,Fánaid Thuaidh,27
12414,Sharagore,Desertegny,51
12415,Sharon Glebe,Newtown Cunningham,9
12416,Sheegys,Ballyshannon Rural,36
12418,Sheercloon,Clonleigh North,29
12419,Shellfield,Rathmelton,13
12420,Sheskinapoll,Treantaghmucklagh,20
12421,Sheskinarone,An Clochán Liath,163
12423,Sheskinbeg,Machaire Chlochair,33
12424,Sixty Acres,Clonleigh North,19
12426,Skelpy,Urney West,57
12427,Skeoge,Burt,58
12428,Skerry,Loch Caol,17
12429,Skreen,Tullynaught,7
12431,Skreen Upper,Loch Caol,22
12432,Sladran,Mintiaghs,118
12433,Slatehill,Newtown Cunningham,16
12434,Sleeghan,Machaire Chlochair,20
12435,Slievebuck,Kincraigy,34
12436,Sminver,Carrickboy/Ballyshannon Urban,7
12437,Snugborough,Ard an Rátha,10
12438,Sockar,Edenacarnan,55
12439,Soppog,Kilderry,162
12442,Speenoge,Burt,162
12443,Spierstown,Clogher,56
12445,Springhill,Clonleigh South,24
12449,Sruhanreagh,Dún Lúiche,96
12450,Stackarnagh,Templedouglas,82
12455,Starritstown,Convoy,22
12456,Stormhill,Ard an Rátha,10
12457,Straboy (ED Glenties),Na Gleannta,42
12458,Straboy (ED Kilgoly),Cill Ghabhlaigh,7
12462,Stragally,Allt na Péiste,29
12463,Stragar,Tieveskeelta,71
12464,Stragraddy,An Tearmann,38
12465,Straid (ED Straid),Straid,206
12466,Straid or Glebe,Cill Ghabhlaigh,4
12467,Strakeenagh,Machaire Chlochair,23
12468,Straleel,Cró Chaorach,36
12469,Straleel North,Gleann Cholm Cille,22
12470,Straleel South,Gleann Cholm Cille,19
12474,Stralongford,Convoy,89
12475,Stramackilmartin,Machaire Chlochair,50
12476,Stramore,Mín an Lábáin,18
12478,Stranabrattoge,An Clochán,35
12479,Stranabrooey,Machaire Chlochair,25
12480,Stranaclea,Illies,22
12482,Stranaglogh,Na Gleannta,153
12484,Stranakirk,Cró Chaorach,11
12485,Stranamuck,Castlefinn,31
12489,Stranorlar,Stranorlar,679
12490,Strasallagh,Na Gleannta,9
12491,Straths,Ballyliffin,56
12493,Strawoaghter Glebe,Ard an Rátha,6
12494,Stroangarrow,Allt na Péiste,12
12495,Stroangibbagh (ED Altnapaste),Allt na Péiste,6
12496,Stroangibbagh (ED Lettermore),Lettermore,5
12497,Stroove,Greencastle,93
12498,Summerhill,Donegal,43
12499,Summy,Dawros,38
12501,Swillybrin,Ards,28
12502,Tamnawood,Clonleigh North,22
12503,Tamur (ED Bonnyglen),Bonnyglen,21
12504,Tamur (ED Templecarn),Templecarn,28
12506,Tangaveane (ED Graffy),An Ghrafaidh,8
12507,Taughboy,Goland,11
12509,Tawnacrom,Castlefinn,16
12510,Tawnagh,Tullynaught,14
12511,Tawnaghgorm,Tawnawully,36
12512,Tawnaghlahan,Tawnawully,11
12513,Tawnalary,Donegal,28
12514,Tawnasligo,Killybegs,78
12515,Tawnawully Mountains,Tawnawully,15
12516,Tawny (ED Largymore),An Leargaidh Mhór,161
12517,Tawny (ED Rosnakill),Rosnakill,39
12518,Tawny Lower,Kilmacrenan,47
12520,Tawny Upper,Loch Caol,11
12522,Tawnyvorgal,Loch Iascaigh,40
12523,Teangue,Lettermore,7
12524,Teevickmoy,Stranorlar,87
12526,Templemoyle,Culdaff,167
12527,Templenew,Carrickboy,8
12528,Termon,An Machaire,45
12529,Three Trees,Three Trees,184
12531,Tievebane,Fahan,332
12532,Tieveboy,Clonleigh North,37
12534,Tievebrack (ED Cloghard),Cloghard,38
12535,Tievecloghoge,Knock,27
12538,Tievegarvlagh,An Machaire,7
12540,Tievemore,Grousehall,8
12545,Tinnycahil,Clogher,9
12546,Tirargus,An Tearmann,80
12547,Tircallan,Stranorlar,79
12550,Tirharon,Manorcunningham,26
12551,Tirhomin,Millford,75
12552,Tirinisk,Cloghard,68
12554,Tirkillin,An Tearmann,34
12555,Tirlaydan,Cnoc Colbha,29
12556,Tirlin,An Craoslach,12
12557,Tirloughan,Carraig Airt,112
12558,Tirmacroragh,Turmone,30
12559,Tirnagushoge or Bicketstown,Cloghard,29
12560,Tironeill,Clonleigh North,5
12561,Tirroddy (ED Glenalla),Glenalla,18
12563,Tiryrone,Castlecary,58
12564,Tober (ED Cavangarden),Cavangarden,62
12565,Tober (ED Killea),Killea,15
12566,Toberkeen,An Machaire,119
12567,Tobernahoory,Ballintra,41
12568,Toberoneill,Clonleigh South,33
12571,Tonagh,Killea,61
12572,Tonbane Glebe,Fánaid Thiar,18
12573,Tonduff (ED Altnapaste),Allt na Péiste,15
12574,Tonduff (ED Desertegny),Desertegny,59
12575,Tonduff (Thompson),Allt na Péiste,30
12576,Tonregee (ED Ballyshannon Rural),Ballyshannon Rural,62
12577,Tonregee (ED Inver),Inver,9
12579,Toome (ED Fanad North),Fánaid Thuaidh,20
12580,Toome (ED Lettermacaward),Leitir Mhic an Bhaird,80
12582,Tops,Raphoe,41
12584,Tor,Machaire Chlochair,14
12585,Toragh,Glen,7
12586,Tory Island,Mín an Chladaigh,119
12587,Toulett,Burt,15
12588,Townparks (ED Ballyshannon Urban),Ballyshannon Urban,1141
12589,Townparks (ED Clonleigh South),Clonleigh South,59
12590,Stranacorcragh,Machaire Chlochair,151
12591,Treanamullin,Stranorlar,23
12593,Treanbeg,Templedouglas,15
12594,Treanboy,Convoy,9
12595,Treankeel,Mín Charraigeach,23
12596,Treansallagh,St. Johnstown,53
12597,Treantaboy,Convoy,105
12598,Treantagh,Treantaghmucklagh,20
12599,Treantaghmucklagh,Treantaghmucklagh,42
12600,Trillick,Buncrana Rural,80
12601,Trimragh,Magheraboy,192
12602,Tromaty (Inishowen East By),Whitecastle,170
12603,Tromaty (Inishowen West By),Whitecastle,88
12604,Trumman  East,Laghy,92
12605,Trumman West Barr,Laghy,19
12606,Trumman West,Laghy,27
12607,Trusk,Knock,35
12608,Tullagh (ED Cranford),Creamhghort,55
12609,Tullagh (ED Dunaff),Dunaff,101
12610,Tullaghacullion,Killybegs,45
12611,Tullaghcullion,Donegal,204
12612,Tullaghobegly Irish,Dún Lúiche,129
12613,Tullaghobegly Scotch,Na Croisbhealaí,27
12614,Tullanascreen,Templedouglas,9
12615,Tullanree,Glennagannon,106
12618,Tullinteane,Corkermore,67
12619,Tully (ED Carrickboy),Carrickboy,20
12620,Tully (ED Donegal),Donegal,53
12621,Tully (ED Fanad West),Fánaid Thiar,8
12623,Tullybeg (ED Ballyarr),Ballyarr,20
12624,Tullybeg (ED Church Hill),Mín an Lábáin,13
12625,Tullybeg (ED Malin),Malin,7
12626,Tully Hall,Ballyarr,17
12627,Tullymore (ED Ballyarr),Ballyarr,6
12628,Tullymore (ED Church Hill),Mín an Lábáin,9
12629,Tullymore (ED Maas),Maas,32
12631,Tully Mountain,Ballyarr,84
12632,Tullyally,Redcastle,90
12633,Tullyannan,Castleforward,10
12634,Tullyannan Glebe,Castleforward,8
12635,Tullyard (ED Glenties),Na Gleannta,22
12637,Tullyarvan,Buncrana Rural/Buncrana Urban,1495
12639,Tullybogly,Kincraigy,15
12641,Tullychullion,Templedouglas,33
12642,Tullycleave Beg,Dawros,16
12643,Tullycleave More,Dawros,115
12644,Tullyconnell,Fánaid Thiar,31
12645,Tullycumber,An Bhinn Bhán,14
12646,Tullydonnell Lower,Figart,9
12647,Tullydonnell Upper,Figart,20
12648,Tullydush Lower,Buncrana Rural,22
12649,Tullydush Upper,Buncrana Rural,26
12650,Tullyearl,Tullynaught,39
12651,Tullygallan,Laghy,43
12653,Tullygay,Ballymacool,180
12654,Tullyhonour,Mín Charraigeach,63
12655,Tullyhonwar,Ard an Rátha,5
12656,Tullyhorky,Ballyshannon Rural,45
12657,Tullyillan,Inis Mhic an Doirn,29
12658,Tullylark,Grousehall,11
12659,Tullyleague or Tullybrook,Tullynaught,35
12660,Tullyloskan,Tullynaught,13
12661,Tullymore,Ballyshannon Rural,21
12662,Tullymornin,Tullynaught,15
12663,Tullynabratilly,Ballyliffin,197
12664,Tullynadall,Fánaid Thuaidh,20
12667,Tullynagreana,Eanymore,30
12668,Tullynaha,Eanymore,17
12669,Tullynavinn,Redcastle,52
12670,Tullyowen,St. Johnstown,12
12671,Tullyrap,Feddyglass,4
12672,Tullytrasna (ED Binbane),An Bhinn Bhán,4
12674,Tullyvinny,Figart,109
12675,Tullyvoos,Tantallon,29
12676,Tullywee,Laghy,28
12677,Ture,Three Trees,121
12680,Umgall,Ardmalin,53
12681,Umlagh,Carraig Airt,163
12682,Ummerafad,Caisleán na dTuath,54
12683,Ummerawirrinan,Gleann Cholm Cille,28
12684,Umrycam (ED Mintiaghs),Mintiaghs,194
12685,Umrycam (ED Fanad West),Fánaid Thiar,6
12686,Umuskan,An Leargaidh Mhór,15
12687,Unshinagh Lower,Clonleigh South,13
12689,Maymore Upper,St. Johnstown,23
12692,Urbalreagh,Malin,29
12693,Urbalshinny (ED Ballintra),Ballintra,13
12694,Urbalshinny (ED Millford),Millford,80
12695,Urrismenagh,Dunaff,80
12696,Veagh,Manorcunningham,22
12700,Welchtown,An Clochán,75
12701,Whitecastle,Whitecastle,22
12702,Whitehill (ED Gartan),Gartán,16
12704,Whitehill (ED St. Johnstown),St. Johnstown,87
12706,Whitehill (ED Tullynaught),Tullynaught,7
12707,Whitehouse,Killea,17
12708,Windyhall,Letterkenny Rural,94
12709,Winnyhaw,Figart,12
12710,Winterhill,Haugh,15
12711,Wood,Clonleigh South,12
12713,Woodhill (ED Ardara),Ard an Rátha,52
12714,Woodhill (ED Ards),Ards,13
12715,Woodhill (ED Kincraigy),Kincraigy,17
12716,Woodland,Castlewray,279
12717,Woodlands,Feddyglass,19
12718,Woodpark,Corravaddy,240
12719,Woodquarter,Creamhghort,102
12720,Woodtown,Gortnavern,25
